lat	lon		url
54.183032	-2.921710	Grange-over-Sands	https://www.theguardian.com/money/2018/sep/28/lets-move-to-grange-over-sands-cartmel
51.565015	0.011194	Leytonstone	https://www.theguardian.com/money/2018/sep/21/lets-move-leytonstone-on-good-form
50.874237	0.009374	Lewes, East Sussex	https://www.theguardian.com/money/2018/sep/14/lets-move-to-lewes-east-sussex-hotbed-feverish-radicalism
52.325730	1.678526	Southwold, Suffolk	https://www.theguardian.com/money/2018/sep/07/lets-move-to-southwold-suffolk-pretty-face-signs-strain
52.190698	-2.224215	Worcester	https://www.theguardian.com/money/2018/oct/26/lets-move-to-worcester-full-of-sauce
51.822453	-3.013434	Abergavenny	https://www.theguardian.com/money/2018/oct/12/lets-move-to-abergavenny-food-glorious-food
51.222391	1.399084	Deal, Kent	https://www.theguardian.com/money/2018/oct/05/lets-move-to-deal-kent-these-streets-have-tales-to-tell
53.207393	-2.881343	Chester	https://www.theguardian.com/money/2018/nov/30/lets-move-to-chester-cheshire-history
51.555200	-0.151400	Gospel Oak, north London	https://www.theguardian.com/money/2018/nov/23/lets-move-to-gospel-oak-north-london-john-betjeman-tom-dyckhoff
55.952756	-3.115289	Portobello, Edinburgh	https://www.theguardian.com/money/2018/nov/16/lets-move-to-portobello-edinburgh
51.885549	0.903162	Colchester, Essex	https://www.theguardian.com/money/2018/nov/09/lets-move-to-colchester-essex
50.803382	-1.979153	Wimborne Minster, Dorset	https://www.theguardian.com/money/2018/nov/02/lets-move-to-wimborne-minster-dorset
50.264465	-5.043700	Truro, Cornwall	https://www.theguardian.com/money/2018/may/11/lets-move-to-truro-cornwall
53.3900441	-2.5969501	Warrington, Cheshire	https://www.theguardian.com/money/2018/mar/30/lets-move-to-warrington-cheshire-property
50.768035	0.290472	Eastbourne, East Sussex	https://www.theguardian.com/money/2018/mar/23/lets-move-to-eastbourne-east-sussex
52.7901016	-0.1537024	Spalding, Lincolnshire	https://www.theguardian.com/money/2018/mar/16/lets-move-to-spalding-lincolnshire
50.718412	-3.533899	Exeter, Devon	https://www.theguardian.com/money/2018/mar/02/lets-move-to-exeter-devon-beaches-hills-wilderness-old-pubs
51.492320	-0.043027	Surrey Quays	https://www.theguardian.com/money/2018/jun/29/lets-move-to-surrey-quays-london
56.338795	-2.799420	St Andrews	https://www.theguardian.com/money/2018/jun/22/lets-move-to-st-andrews-1000-years-old-old-romantic
52.052620	1.164245	Ipswich, Suffolk	https://www.theguardian.com/money/2018/jun/15/lets-move-to-ipswich-suffolk-david-brent-steve-jobs
54.973563	-1.590957	Ouseburn	https://www.theguardian.com/money/2018/jun/08/lets-move-to-ouseburn-newcastle-upon-tynes-shoreditch-creative
51.226197	-0.335667	Dorking, Surrey	https://www.theguardian.com/money/2018/jun/01/lets-move-to-dorking-surrey
51.340481	-2.965166	Weston-super-Mare	https://www.theguardian.com/money/2018/jul/27/lets-move-to-weston-super-mare
53.462761	-2.216665	Ramsbottom, Greater Manchester	https://www.theguardian.com/money/2018/jul/20/lets-move-to-ramsbottom-greater-manchester
53.716700	-1.850000	Halifax, West Yorkshire	https://www.theguardian.com/money/2018/jul/13/lets-move-to-halifax-west-yorkshire
52.111227	-4.078173	Lampeter, Ceredigion	https://www.theguardian.com/money/2018/jul/06/lets-move-to-lampeter-ceredigion-neat-town-if-like-students
53.841963	-0.435093	Beverley, east Yorkshire	https://www.theguardian.com/money/2018/jan/26/lets-move-beverley-east-yorkshire
55.8630462	-4.2812277	Finnieston, Glasgow	https://www.theguardian.com/money/2018/jan/19/lets-move-to-finnieston-glasgow-no-lampshades-cocktails-in-jam-jars
53.365962	-0.007711	Louth, Lincolnshire	https://www.theguardian.com/money/2018/jan/12/lets-move-to-louth-lincolnshire-worth-the-slog
