lat	lon		url
51.297353	1.290718	New Ash Green, Kent	https://www.theguardian.com/money/2019/sep/27/lets-move-to-new-ash-green-kent
53.258716	-1.905372	Buxton, Derbyshire	https://www.theguardian.com/money/2019/sep/20/lets-move-to-buxton-derbyshire-property
54.048678	-2.799452	Lancaster, Lancashire	https://www.theguardian.com/money/2019/sep/13/lets-move-to-lancaster-lancashire-grander-than-you-might-think
54.579375	-5.919726	Ormeau, Belfast	https://www.theguardian.com/money/2019/sep/06/lets-move-to-ormeau-belfast
50.548311	-4.142036	Tavistock, Devon	https://www.theguardian.com/money/2019/oct/25/lets-move-to-tavistock-devon-dartmoor
55.122440	-3.937704	Dumfries, Dumfries & Galloway	https://www.theguardian.com/money/2019/oct/18/lets-move-dumfries-galloway-scotland
50.928914	0.200567	St Leonards-on-Sea, East Sussex	https://www.theguardian.com/money/2019/oct/11/lets-move-to-st-leonards-on-sea-east-sussex-the-yin-to-hastings-yang
51.509648	-0.099076	Croydon, south London	https://www.theguardian.com/money/2019/oct/04/lets-move-to-croydon-south-london-birthplace-of-stormzy-tom-dyckhoff
57.479549	-4.237208	Inverness, Inverness-shire	https://www.theguardian.com/money/2019/nov/29/lets-move-to-inverness-invernessshire-wilderness-doorstep
51.052921	-0.198273	High Weald, East Sussex	https://www.theguardian.com/money/2019/nov/15/lets-move-to-eastern-high-weald-east-sussex-kent-not-fashionable-but-fabulous
53.119911	-1.604812	Glossop, Derbyshire	https://www.theguardian.com/money/2019/nov/08/lets-move-to-glossop-derbyshire-fierce-and-friendly
51.837732	1.243884	Walton-on-the-Naze, Essex	https://www.theguardian.com/money/2019/nov/01/lets-move-to-walton-on-the-naze-essex
53.417107	-2.233126	Didsbury	https://www.theguardian.com/money/2019/may/31/lets-move-to-didsbury
51.793357	-0.081130	Hertford	https://www.theguardian.com/money/2019/may/17/lets-move-to-hertford-hertfordshire
51.509648	-0.099076	Hornsey, north London	https://www.theguardian.com/money/2019/may/10/lets-move-to-hornsey-north-london
52.860872	-3.053904	Oswestry, Shropshire	https://www.theguardian.com/money/2019/may/03/lets-move-to-oswestry-shropshire
51.945684	-3.387660	Brecon, Powys	https://www.theguardian.com/money/2019/mar/29/lets-move-to-brecon-powys-bright-streets-and-brooding-beacons
51.066050	-1.314423	Winchester	https://www.theguardian.com/money/2019/mar/22/lets-move-to-winchester-hampshire
51.489129	-0.307382	Brentford, west London	https://www.theguardian.com/money/2019/mar/08/lets-move-to-brentford-west-london
56.281067	-4.436736	Stirling	https://www.theguardian.com/money/2019/mar/01/lets-move-to-stirling
50.842941	-0.131312	Brighton, East Sussex	https://www.theguardian.com/money/2019/jun/28/lets-move-to-brighton-east-sussex
53.122831	-0.249014	Grimsby and Cleethorpes, Lincolnshire	https://www.theguardian.com/money/2019/jun/21/lets-move-to-grimsby-cleethorpes-lincolnshire
54.330497	-2.739622	Kendal, Cumbria	https://www.theguardian.com/money/2019/jun/14/lets-move-to-kendal-cumbria
50.792042	-0.681268	Bognor Regis, West Sussex	https://www.theguardian.com/money/2019/jun/07/lets-move-to-bognor-regis-west-sussex
52.320770	-3.934970	Cardigan, Ceredigion	https://www.theguardian.com/money/2019/jul/26/lets-move-to-ceredigion
51.749050	-0.455433	Hemel Hempstead, Hertfordshire	https://www.theguardian.com/money/2019/jul/19/lets-move-to-hemel-hempstead-hertfordshire-tom-dyckhoff
50.704022	-3.494682	Whitley Bay, Tyne and Wear	https://www.theguardian.com/money/2019/jul/12/lets-move-to-whitley-bay-tyne-and-wear
58.596000	-3.521000	Thurso and Dunnet Bay, Caithness	https://www.theguardian.com/money/2019/jul/05/lets-move-to-thurso-dunnet-bay-caithness
50.944162	-2.523873	Sherborne, Dorset	https://www.theguardian.com/money/2019/jan/25/sherborne-dorset-packed-with-stories-of-its-ancient-past
51.531427	-0.132028	Somers Town	https://www.theguardian.com/money/2019/jan/18/lets-move-to-somers-town-one-of-londons-best-kept-secrets
52.757607	0.412423	King’s Lynn, Norfolk	https://www.theguardian.com/money/2019/jan/11/lets-move-to-kings-lynn-norfolk-it-is-beautiful
52.284873	-1.583659	Warwick	https://www.theguardian.com/money/2019/jan/04/warwick-warwickshire-property-lets-move-to-tom-dyckhoff
52.931376	1.300610	Cromer, Norfolk	https://www.theguardian.com/money/2019/feb/22/lets-move-cromer-norfolk-tom-dyckhoff
52.183762	-0.473722	Bedford	https://www.theguardian.com/money/2019/feb/15/lets-move-to-bedford-bedfordshire
53.873134	-2.388478	Clitheroe, Lancashire	https://www.theguardian.com/money/2019/feb/08/lets-move-to-clitheroe-ribble-valley-lancashire
53.305296	-4.382343	Anglesey, Wales	https://www.theguardian.com/money/2019/feb/01/lets-move-anglesey-ynys-mon-wales-world-apart-tom-dyckhoff
51.550503	-0.304841	Wembley, Middlesex	https://www.theguardian.com/money/2019/dec/27/lets-move-to-wembley-middlesex
50.594503	-1.207249	Ventnor	https://www.theguardian.com/money/2019/aug/30/lets-move-to-ventnor-isle-of-wight
53.373000	-3.184000	West Kirby, Merseyside	https://www.theguardian.com/money/2019/aug/23/lets-move-to-west-kirby-merseyside-way-things-used-to-be
54.312921	-1.078289	Helmsley, North Yorkshire	https://www.theguardian.com/money/2019/aug/16/lets-move-to-helmsley-north-yorkshire
50.834297	-0.781582	Chichester, West Sussex	https://www.theguardian.com/money/2019/aug/09/lets-move-to-chichester-west-sussex
51.509648	-0.099076	Bermondsey, south-east London	https://www.theguardian.com/money/2019/aug/02/lets-move-to-bermondsey-south-east-london-tom-dyckhoff
54.125827	-1.518454	Ripon, North Yorkshire	https://www.theguardian.com/money/2019/apr/26/lets-move-to-ripon-north-yorkshire
